league.year,league.name,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1915,South Atlantic League,ALTN0101,Alton,,Albany,1915-04-14,1915-05-15,11,10,0,0,0,0,0,0,0,0,0,10
1915,South Atlantic League,ALFR0101,Alvarez,,Columbia,1915-04-12,1915-04-12,1,1,0,0,0,0,0,0,0,0,0,1
1915,South Atlantic League,PNKS0101,Bankston,,Charleston,1915-04-12,1915-05-15,30,0,0,0,0,0,30,30,0,0,0,0
1915,South Atlantic League,PRTL0101,Bartell,,Columbia,1915-04-13,1915-04-21,2,2,0,0,0,0,0,0,0,0,0,2
1915,South Atlantic League,PXMZ0102,Basham,,Charleston,1915-05-08,1915-05-15,7,0,0,0,0,0,2,0,0,2,5,0
1915,South Atlantic League,PXMZ0202,Basham,,Macon,1915-04-12,1915-05-01,12,0,0,0,0,0,0,0,0,0,6,0
1915,South Atlantic League,PRNS0101,Bernsen,,Columbia,1915-04-12,1915-05-15,33,1,24,2,0,0,0,0,0,0,7,1
1915,South Atlantic League,PTNK0101,Bitting,,Charleston,1915-04-12,1915-05-15,30,0,0,0,30,0,0,0,0,0,0,0
1915,South Atlantic League,PNZZ0101,Bowen,,Jacksonville,1915-04-12,1915-05-15,31,0,0,0,31,0,0,0,0,0,0,0
1915,South Atlantic League,PLZZ0102,Boyle,,Columbus,1915-04-13,1915-04-21,5,2,0,1,0,0,2,2,0,0,0,2
1915,South Atlantic League,PRRZ0101,Brewer,,Jacksonville,1915-05-13,1915-05-15,4,0,0,0,0,0,4,0,0,4,0,0
1915,South Atlantic League,PRKS0102,Brooks,,Charleston,1915-05-12,1915-05-15,4,0,0,4,0,0,0,0,0,0,0,0
1915,South Atlantic League,PRKS0202,Brooks,,Columbus,1915-04-12,1915-05-08,24,0,4,20,0,0,0,0,0,0,0,0
1915,South Atlantic League,PRJS0102,Burgess,,Albany,1915-05-01,1915-05-15,12,0,0,0,0,0,12,0,0,12,0,0
1915,South Atlantic League,PRJS0202,Burgess,,Augusta,1915-04-12,1915-04-29,18,0,0,0,0,0,18,0,0,18,0,0
1915,South Atlantic League,PRMS0101,Burmeister,,Jacksonville,1915-04-12,1915-05-15,14,8,1,0,0,0,3,0,0,3,0,8
1915,South Atlantic League,KNZZ0102,Cain,,Charleston,1915-04-12,1915-05-04,21,0,0,0,0,21,0,0,0,0,0,0
1915,South Atlantic League,KMNT0101,Camnitz,,Savannah,1915-04-13,1915-05-15,9,9,0,0,0,0,0,0,0,0,0,9
1915,South Atlantic League,KRLZ0102,Carroll,,Jacksonville,1915-04-12,1915-05-15,31,0,16,0,0,0,15,0,15,0,0,0
1915,South Atlantic League,KRTR0101,Carter,,Jacksonville,1915-04-12,1915-04-30,13,0,2,8,0,0,2,0,0,2,0,0
1915,South Atlantic League,KTSZ0101,Cates,,Charleston,1915-04-14,1915-05-15,13,7,0,0,0,0,6,0,4,2,0,7
1915,South Atlantic League,KSZZ0101,Causey,,Savannah,1915-04-14,1915-05-13,8,8,0,0,0,0,0,0,0,0,0,8
1915,South Atlantic League,XMPL0101,Champlain,,Augusta,1915-04-12,1915-05-15,32,0,0,0,32,0,0,0,0,0,0,0
1915,South Atlantic League,XNKZ0101,Chancey,,Macon,1915-04-12,1915-05-15,30,0,0,0,0,0,30,30,0,0,0,0
1915,South Atlantic League,XNZZ0103,Chaney,,Macon,1915-04-14,1915-04-14,1,0,0,0,0,0,1,1,0,0,0,0
1915,South Atlantic League,XNZZ0203,Cheney,,Augusta,1915-04-20,1915-04-22,2,2,0,0,0,0,0,0,0,0,0,2
1915,South Atlantic League,XNZZ0303,Cheney,,Charleston,1915-04-28,1915-05-06,3,3,0,0,0,0,0,0,0,0,0,3
1915,South Atlantic League,KLPR0101,Colbert,,Savannah,1915-04-12,1915-04-16,5,0,0,0,0,0,5,0,0,5,0,0
1915,South Atlantic League,KNLZ0102,Connolly,,Charleston,1915-04-13,1915-05-08,16,0,0,0,0,0,1,0,1,0,15,0
1915,South Atlantic League,KNLZ0202,Connolly,,Columbia,1915-05-10,1915-05-15,9,0,0,0,0,0,0,0,0,0,9,0
1915,South Atlantic League,KRLZ0202,Correll,,Columbia,1915-05-14,1915-05-15,2,0,0,0,0,0,2,0,0,2,0,0
1915,South Atlantic League,KNZZ0202,Cowan,,Albany,1915-04-12,1915-05-01,16,0,0,6,0,0,10,0,6,4,0,0
1915,South Atlantic League,KKSZ0101,Cox,,Charleston,1915-04-23,1915-04-27,2,2,0,0,0,0,0,0,0,0,0,2
1915,South Atlantic League,KTRZ0101,Crowder,,Jacksonville,1915-04-19,1915-05-15,25,0,0,0,0,25,0,0,0,0,0,0
1915,South Atlantic League,KLZZ0103,Crowell,,Savannah,1915-04-12,1915-05-15,30,0,0,0,0,30,0,0,0,0,0,0
1915,South Atlantic League,KTZZ0101,Cueto,,Jacksonville,1915-04-12,1915-05-15,31,0,0,0,0,4,28,28,0,0,1,0
1915,South Atlantic League,TFNP0101,Davenport,,Augusta,1915-04-12,1915-05-15,32,0,32,0,0,0,0,0,0,0,0,0
1915,South Atlantic League,TKRS0101,Dickerson,,Macon,1915-04-17,1915-04-20,2,2,0,0,0,0,0,0,0,0,0,2
1915,South Atlantic League,TTLZ0101,Dudley,,Augusta,1915-04-12,1915-05-12,12,0,0,0,0,0,0,0,0,0,12,0
1915,South Atlantic League,ALTR0102,Eldridge,,Charleston,1915-04-12,1915-05-12,11,10,0,0,0,0,0,0,0,0,0,10
1915,South Atlantic League,ALSZ0102,Ellis,,Jacksonville,1915-04-17,1915-04-17,1,1,0,0,0,0,0,0,0,0,0,1
1915,South Atlantic League,ARNZ0101,Erwin,,Albany,1915-04-12,1915-05-15,30,1,0,0,1,23,4,0,4,0,3,1
1915,South Atlantic League,APNK0102,Eubanks,,Augusta,1915-04-28,1915-05-15,17,0,0,0,0,0,1,0,0,1,16,0
1915,South Atlantic League,APNK0202,Eubanks,,Charleston,1915-04-12,1915-04-26,8,0,0,0,0,0,0,0,0,0,8,0
1915,South Atlantic League,ASLZ0101,Ezell,,Augusta,1915-04-12,1915-05-15,32,0,0,0,0,0,32,0,32,0,0,0
1915,South Atlantic League,FLKN0101,Falconer,,Jacksonville,1915-04-30,1915-04-30,1,0,1,0,0,0,0,0,0,0,0,0
1915,South Atlantic League,FLNJ0102,Fillingem,,Charleston,1915-04-15,1915-05-14,7,6,0,0,0,0,1,0,1,0,0,6
1915,South Atlantic League,FLNJ0202,Fillingin,,Charleston,1915-04-21,1915-04-21,1,1,0,0,0,0,0,0,0,0,0,1
1915,South Atlantic League,FNKN0101,Finnegan,,Columbia,1915-04-12,1915-05-15,33,0,0,0,33,0,0,0,0,0,0,0
1915,South Atlantic League,FLMR0101,Folmar,,Columbus,1915-04-12,1915-05-13,29,0,0,0,0,0,29,0,29,0,0,0
1915,South Atlantic League,FSTR0101,Foster,,Macon,1915-04-12,1915-05-14,9,9,0,0,0,0,0,0,0,0,0,9
1915,South Atlantic League,FKSZ0101,Fox,,Columbus,1915-04-12,1915-05-15,29,2,25,4,0,0,0,0,0,0,0,2
1915,South Atlantic League,KRTN0101,Gardin,,Columbia,1915-04-12,1915-05-14,10,10,0,0,0,0,0,0,0,0,0,10
1915,South Atlantic League,KSTN0101,Gaston,,Jacksonville,1915-04-12,1915-05-15,27,0,0,10,0,0,17,0,13,5,0,0
1915,South Atlantic League,JRZZ0101,Geary,,Albany,1915-04-21,1915-05-12,7,4,0,0,0,0,2,0,0,2,0,4
1915,South Atlantic League,KRMZ0101,Gorham,,Macon,1915-04-12,1915-04-28,16,0,0,1,15,0,0,0,0,0,0,0
1915,South Atlantic League,KRNZ0101,Green,,Columbia,1915-04-12,1915-05-13,20,7,0,0,0,0,9,3,2,4,0,7
1915,South Atlantic League,KRZZ0101,Guerry,,Albany,1915-04-13,1915-04-23,5,3,0,0,0,0,1,0,0,1,0,3
1915,South Atlantic League,KSTZ0101,Gust,,Savannah,1915-04-12,1915-05-15,30,0,30,0,0,0,0,0,0,0,0,0
1915,South Atlantic League,HTNL0102,Hadnall,,Augusta,1915-05-03,1915-05-03,1,0,0,0,0,0,1,0,0,1,0,0
1915,South Atlantic League,HNTP0101,Handiboe,,Savannah,1915-04-12,1915-05-15,30,0,0,0,0,0,30,0,30,0,0,0
1915,South Atlantic League,HNZZ0101,Hanna,,Albany,1915-04-12,1915-05-15,30,0,0,0,0,0,30,30,0,0,0,0
1915,South Atlantic League,HRPS0101,Harbison,,Columbia,1915-04-14,1915-05-11,25,0,3,0,0,22,0,0,0,0,0,0
1915,South Atlantic League,HRPR0101,Harper,,Augusta,1915-05-12,1915-05-15,2,2,0,0,0,0,0,0,0,0,0,2
1915,South Atlantic League,HRSZ0101,Harris,,Augusta,1915-04-13,1915-05-08,6,6,0,0,0,0,0,0,0,0,0,6
1915,South Atlantic League,HRTZ0101,Hart,,Columbus,1915-04-28,1915-05-15,12,1,0,0,0,0,11,0,0,11,0,1
1915,South Atlantic League,HKNS0102,Hawkins,,Columbus,1915-04-12,1915-05-15,18,9,0,0,0,0,7,1,3,3,0,9
1915,South Atlantic League,HKNS0202,Hawkins,,Jacksonville,1915-04-13,1915-04-15,3,1,0,0,0,0,1,1,0,0,0,1
1915,South Atlantic League,HRNT0101,Herndon,,Columbus,1915-04-12,1915-05-15,31,0,0,0,31,0,0,0,0,0,0,0
1915,South Atlantic League,HLZZ0101,Hill,,Jacksonville,1915-04-12,1915-04-29,17,0,0,0,0,0,17,0,3,14,0,0
1915,South Atlantic League,HJZZ0101,Hodge,,Albany,1915-04-12,1915-04-15,4,0,0,0,0,4,0,0,0,0,0,0
1915,South Atlantic League,HLNT0101,Holland,,Albany,1915-04-12,1915-04-15,4,0,0,4,0,0,0,0,0,0,0,0
1915,South Atlantic League,HTNL0202,Hudnall,,Augusta,1915-05-05,1915-05-05,1,0,0,0,0,0,1,0,0,1,0,0
1915,South Atlantic League,HNLZ0101,Hunnall,,Augusta,1915-05-04,1915-05-04,1,0,0,0,0,0,1,0,0,1,0,0
1915,South Atlantic League,JKSN0102,Jackson,,Albany,1915-04-29,1915-04-30,2,0,0,0,0,0,2,0,0,2,0,0
1915,South Atlantic League,JKSN0202,Jackson,,Columbus,1915-04-19,1915-04-21,3,0,0,0,0,0,3,3,0,0,0,0
1915,South Atlantic League,JNSN0102,Johnson,,Augusta,1915-04-14,1915-04-23,4,0,0,0,0,0,0,0,0,0,4,0
1915,South Atlantic League,JNSN0202,Johnson,,Columbia,1915-05-10,1915-05-10,2,0,0,2,0,0,0,0,0,0,0,0
1915,South Atlantic League,KLZZ0203,Kelley,,Augusta,1915-05-15,1915-05-15,1,0,0,0,0,1,0,0,0,0,0,0
1915,South Atlantic League,KLZZ0303,Kelly,,Augusta,1915-04-12,1915-05-14,31,0,0,0,0,31,0,0,0,0,0,0
1915,South Atlantic League,KLRZ0101,Koehler,,Columbia,1915-04-13,1915-04-22,3,0,0,0,0,0,0,0,0,0,2,0
1915,South Atlantic League,KRPS0101,Krebs,,Columbus,1915-04-12,1915-05-15,24,0,0,0,0,0,0,0,0,0,23,0
1915,South Atlantic League,LKZZ0101,Lake,,Columbia,1915-04-12,1915-05-15,33,0,6,7,0,0,20,0,20,0,0,0
1915,South Atlantic League,LRNK0101,Lawrence,,Albany,1915-04-13,1915-05-15,11,10,0,0,0,0,1,0,1,0,0,10
1915,South Atlantic League,LTNZ0101,Layden,,Columbia,1915-04-12,1915-05-15,30,0,0,0,0,0,30,0,9,22,0,0
1915,South Atlantic League,LNRT0101,Leonard,,Jacksonville,1915-04-21,1915-05-04,13,0,0,13,0,0,0,0,0,0,0,0
1915,South Atlantic League,LPZZ0101,Lipe,,Savannah,1915-04-12,1915-05-15,30,0,0,0,30,0,0,0,0,0,0,0
1915,South Atlantic League,LRZZ0102,Lowry,,Columbia,1915-05-13,1915-05-15,2,1,1,0,0,0,0,0,0,0,0,1
1915,South Atlantic League,LRZZ0202,Lowry,,Macon,1915-04-17,1915-04-29,4,3,0,0,0,0,0,0,0,0,0,3
1915,South Atlantic League,MKZZ0101,Mack,,Macon,1915-04-12,1915-05-15,29,0,0,28,1,0,0,0,0,0,0,0
1915,South Atlantic League,MKRT0101,Mackert,,Charleston,1915-04-12,1915-05-11,26,0,0,1,0,5,21,0,21,0,0,0
1915,South Atlantic League,MNXS0101,Manchester,,Jacksonville,1915-04-15,1915-04-19,3,0,0,0,0,0,0,0,0,0,3,0
1915,South Atlantic League,MNSZ0101,Manes,,Jacksonville,1915-05-03,1915-05-15,12,0,12,0,0,0,0,0,0,0,0,0
1915,South Atlantic League,MNXZ0101,Manush,,Albany,1915-04-12,1915-05-15,30,1,0,0,30,0,0,0,0,0,0,1
1915,South Atlantic League,MRXL0101,Marshall,,Charleston,1915-05-10,1915-05-15,6,0,0,0,0,0,4,0,4,0,2,0
1915,South Atlantic League,MRTN0101,Martin,,Macon,1915-04-13,1915-05-13,10,10,0,0,0,0,0,0,0,0,0,10
1915,South Atlantic League,M0SZ0102,Mathews,,Macon,1915-05-14,1915-05-15,2,0,0,0,0,0,2,0,2,0,0,0
1915,South Atlantic League,M0ZZ0101,Mathieu,,Macon,1915-04-14,1915-05-03,5,5,0,0,0,0,0,0,0,0,0,5
1915,South Atlantic League,M0SZ0202,Matthews,,Macon,1915-04-12,1915-05-13,29,0,0,0,0,0,29,0,29,0,0,0
1915,South Atlantic League,MZZZ0101,May,,Macon,1915-04-23,1915-05-15,8,7,0,0,0,0,0,0,0,0,0,7
1915,South Atlantic League,MSZZ0101,Mays,,Macon,1915-04-22,1915-04-22,1,1,0,0,0,0,0,0,0,0,0,1
1915,South Atlantic League,MKRM0102,McDermitt,,Charleston,1915-05-10,1915-05-11,2,0,0,2,0,0,0,0,0,0,0,0
1915,South Atlantic League,MKRM0202,McDermott,,Charleston,1915-05-12,1915-05-15,4,0,0,0,0,4,0,0,0,0,0,0
1915,South Atlantic League,MKLZ0101,McDowell,,Albany,1915-04-12,1915-05-15,30,0,0,0,0,0,30,0,20,10,0,0
1915,South Atlantic League,MKFZ0101,McDuff,,Columbus,1915-04-12,1915-05-15,31,0,0,0,0,31,0,0,0,0,0,0
1915,South Atlantic League,MKNS0101,McManus,,Augusta,1915-04-12,1915-05-14,12,12,0,0,0,0,0,0,0,0,0,12
1915,South Atlantic League,MHNZ0101,Meehan,,Macon,1915-04-12,1915-05-15,27,0,0,0,0,0,0,0,0,0,25,0
1915,South Atlantic League,MXLZ0101,Mitchell,,Columbia,1915-04-13,1915-05-13,13,11,0,0,0,0,2,0,0,2,0,11
1915,South Atlantic League,MRZZ0102,Moore,,Columbia,1915-04-23,1915-04-29,3,3,0,0,0,0,0,0,0,0,0,3
1915,South Atlantic League,MRZZ0202,Moore,,Macon,1915-04-15,1915-05-15,24,0,0,2,15,0,3,0,0,3,0,0
1915,South Atlantic League,MLTR0101,Muldrow,,Columbia,1915-04-12,1915-04-14,2,0,0,0,0,0,1,0,1,0,0,0
1915,South Atlantic League,MNZZ0101,Munn,,Macon,1915-04-12,1915-05-15,31,0,31,0,0,0,0,0,0,0,0,0
1915,South Atlantic League,NLZZ0101,Nally,,Columbia,1915-04-12,1915-05-15,33,0,0,0,0,0,33,29,4,0,0,0
1915,South Atlantic League,NLTZ0102,Neild,,Macon,1915-05-01,1915-05-03,2,0,0,0,0,2,0,0,0,0,0,0
1915,South Atlantic League,NLTZ0202,Nield,,Macon,1915-04-12,1915-05-15,29,0,0,0,0,29,0,0,0,0,0,0
1915,South Atlantic League,NPRZ0101,Nipper,,Columbia,1915-05-12,1915-05-13,4,0,0,0,0,4,0,0,0,0,0,0
1915,South Atlantic League,NRKT0101,Norcott,,Savannah,1915-04-14,1915-05-15,15,0,0,0,0,0,14,0,0,14,0,0
1915,South Atlantic League,APRN0101,O'Brien,,Columbia,1915-04-12,1915-05-06,17,0,0,14,0,0,0,0,0,0,0,0
1915,South Atlantic League,AKRN0101,Ogren,,Augusta,1915-04-12,1915-05-15,32,0,0,32,0,0,0,0,0,0,0,0
1915,South Atlantic League,ARST0101,Orstendorf,,Macon,1915-04-17,1915-04-17,1,1,0,0,0,0,0,0,0,0,0,1
1915,South Atlantic League,ASTN0101,Ostendorf,,Macon,1915-04-12,1915-04-12,1,1,0,0,0,0,0,0,0,0,0,1
1915,South Atlantic League,PTRS0101,Patterson,,Columbia,1915-04-12,1915-04-21,6,0,0,0,0,0,4,0,0,4,0,0
1915,South Atlantic League,PRSN0102,Pearson,,Augusta,1915-04-14,1915-04-16,2,1,0,0,0,0,0,0,0,0,0,1
1915,South Atlantic League,PRSN0202,Pearson,,Jacksonville,1915-04-24,1915-05-13,5,5,0,0,0,0,0,0,0,0,0,5
1915,South Atlantic League,PRZZ0101,Pierre,,Jacksonville,1915-04-12,1915-05-15,29,0,0,0,0,0,2,0,0,2,27,0
1915,South Atlantic League,PKRN0101,Pokorney,,Columbia,1915-04-12,1915-04-26,13,0,0,8,0,2,0,0,0,0,0,0
1915,South Atlantic League,PTSZ0101,Potts,,Columbus,1915-05-10,1915-05-15,7,0,0,7,0,0,0,0,0,0,0,0
1915,South Atlantic League,PLZZ0202,Powell,,Jacksonville,1915-04-12,1915-04-12,1,0,0,0,0,1,0,0,0,0,0,0
1915,South Atlantic League,PRTZ0101,Pratt,,Jacksonville,1915-04-26,1915-05-13,4,4,0,0,0,0,0,0,0,0,0,4
